indicator_key,var_id,kode_wilayah,th_id,turvar_id,turth_id,data_key,source_domain,nilai,last_update,artifact_path,snapshot_id
poverty_rate,192,1400,124,433,62,140019243312462,0000,6.52,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2024.json,bps-data-8c5cb32173251389
poverty_rate,192,1400,124,434,61,140019243412461,0000,6.67,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2024.json,bps-data-8c5cb32173251389
poverty_rate,192,1400,124,434,62,140019243412462,0000,6.36,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2024.json,bps-data-8c5cb32173251389
poverty_rate,192,1500,121,432,61,150019243212161,0000,11.52,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2021.json,bps-data-389fbfd995754e0e
poverty_rate,192,1500,121,432,62,150019243212162,0000,10.5,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2021.json,bps-data-389fbfd995754e0e
poverty_rate,192,1500,121,433,61,150019243312161,0000,6.42,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2021.json,bps-data-389fbfd995754e0e
poverty_rate,192,1500,121,433,62,150019243312162,0000,6.28,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2021.json,bps-data-389fbfd995754e0e
poverty_rate,192,1500,121,434,61,150019243412161,0000,8.09,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2021.json,bps-data-389fbfd995754e0e
poverty_rate,192,1500,121,434,62,150019243412162,0000,7.67,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2021.json,bps-data-389fbfd995754e0e
poverty_rate,192,1500,122,432,61,150019243212261,0000,10.51,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2022.json,bps-data-e46aa53d43b00c96
poverty_rate,192,1500,122,432,62,150019243212262,0000,10.48,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2022.json,bps-data-e46aa53d43b00c96
poverty_rate,192,1500,122,433,61,150019243312261,0000,6.19,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2022.json,bps-data-e46aa53d43b00c96
poverty_rate,192,1500,122,433,62,150019243312262,0000,6.32,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2022.json,bps-data-e46aa53d43b00c96
poverty_rate,192,1500,122,434,61,150019243412261,0000,7.62,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2022.json,bps-data-e46aa53d43b00c96
poverty_rate,192,1500,122,434,62,150019243412262,0000,7.7,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2022.json,bps-data-e46aa53d43b00c96
poverty_rate,192,1500,123,432,61,150019243212361,0000,10.19,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2023.json,bps-data-d8ab23f832cb7cbe
poverty_rate,192,1500,123,433,61,150019243312361,0000,6.28,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2023.json,bps-data-d8ab23f832cb7cbe
poverty_rate,192,1500,123,434,61,150019243412361,0000,7.58,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2023.json,bps-data-d8ab23f832cb7cbe
poverty_rate,192,1500,124,432,61,150019243212461,0000,9.5,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2024.json,bps-data-8c5cb32173251389
poverty_rate,192,1500,124,432,62,150019243212462,0000,9.6,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2024.json,bps-data-8c5cb32173251389
poverty_rate,192,1500,124,433,61,150019243312461,0000,5.9,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2024.json,bps-data-8c5cb32173251389
poverty_rate,192,1500,124,433,62,150019243312462,0000,6.08,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2024.json,bps-data-8c5cb32173251389
poverty_rate,192,1500,124,434,61,150019243412461,0000,7.1,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2024.json,bps-data-8c5cb32173251389
poverty_rate,192,1500,124,434,62,150019243412462,0000,7.26,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2024.json,bps-data-8c5cb32173251389
poverty_rate,192,1600,121,432,61,160019243212161,0000,12.36,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2021.json,bps-data-389fbfd995754e0e
poverty_rate,192,1600,121,432,62,160019243212162,0000,11.99,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2021.json,bps-data-389fbfd995754e0e
poverty_rate,192,1600,121,433,61,160019243312161,0000,13.12,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2021.json,bps-data-389fbfd995754e0e
poverty_rate,192,1600,121,433,62,160019243312162,0000,13.28,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2021.json,bps-data-389fbfd995754e0e
poverty_rate,192,1600,121,434,61,160019243412161,0000,12.84,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2021.json,bps-data-389fbfd995754e0e
poverty_rate,192,1600,121,434,62,160019243412162,0000,12.79,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2021.json,bps-data-389fbfd995754e0e
poverty_rate,192,1600,122,432,61,160019243212261,0000,11.23,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2022.json,bps-data-e46aa53d43b00c96
poverty_rate,192,1600,122,432,62,160019243212262,0000,11.37,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2022.json,bps-data-e46aa53d43b00c96
poverty_rate,192,1600,122,433,61,160019243312261,0000,12.31,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2022.json,bps-data-e46aa53d43b00c96
poverty_rate,192,1600,122,433,62,160019243312262,0000,12.3,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2022.json,bps-data-e46aa53d43b00c96
poverty_rate,192,1600,122,434,61,160019243412261,0000,11.9,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2022.json,bps-data-e46aa53d43b00c96
poverty_rate,192,1600,122,434,62,160019243412262,0000,11.95,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2022.json,bps-data-e46aa53d43b00c96
poverty_rate,192,1600,123,432,61,160019243212361,0000,11.07,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2023.json,bps-data-d8ab23f832cb7cbe
poverty_rate,192,1600,123,433,61,160019243312361,0000,12.21,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2023.json,bps-data-d8ab23f832cb7cbe
poverty_rate,192,1600,123,434,61,160019243412361,0000,11.78,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2023.json,bps-data-d8ab23f832cb7cbe
poverty_rate,192,1600,124,432,61,160019243212461,0000,10.04,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2024.json,bps-data-8c5cb32173251389
poverty_rate,192,1600,124,432,62,160019243212462,0000,9.02,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2024.json,bps-data-8c5cb32173251389
poverty_rate,192,1600,124,433,61,160019243312461,0000,11.53,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2024.json,bps-data-8c5cb32173251389
poverty_rate,192,1600,124,433,62,160019243312462,0000,11.43,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2024.json,bps-data-8c5cb32173251389
